Season,Name,death,min,max,mean,multiply,death_prediction,death_prediction_probability
summer,PISCES,False,0.9633333333333332,1.0,0.996138888888889,-0.1174035988573375,False,0.08938042531494161
summer,PISCES,False,0.9633333333333332,1.0,0.996138888888889,-0.1174035988573375,False,0.08938042531494161
winter,TOKYO,False,0.9428571428571428,1.0,0.9960119047619048,-0.1222370778175371,False,0.09052326126801206
summer,BRADY,False,0.9345833333333337,1.0,0.9938829365079364,-0.1870576737770349,False,0.10716464543569165
summer,BRADY,False,0.9345833333333337,1.0,0.9938829365079364,-0.1870576737770349,False,0.10716464543569165
summer,BRADY,False,0.9345833333333337,1.0,0.9938829365079364,-0.1870576737770349,False,0.10716464543569165
winter,TOKYO,False,0.9035714285714284,1.0,0.9938690476190476,-0.1901145002134475,False,0.10801236996943887
summer,CHARLESTON,False,0.9566666666666668,1.0,0.9937579365079364,-0.1906505130974489,False,0.10816162399574529
summer,PISCES,False,0.92,1.0,0.9934444444444444,-0.2024898943342211,False,0.1115047989842694
winter,TOKYO,False,0.9285714285714284,1.0,0.9925198412698412,-0.2303745051477151,False,0.11973730621284862
winter,SINGAPURA,False,0.8930555555555557,1.0,0.99255291005291,-0.2323031466546433,False,0.12032569996579877
winter,SINGAPURA,False,0.8930555555555557,1.0,0.99255291005291,-0.2323031466546433,False,0.12032569996579877
winter,SINGAPURA,False,0.8930555555555557,1.0,0.99255291005291,-0.2323031466546433,False,0.12032569996579877
winter,VENICE,False,0.8880952380952382,1.0,0.9883630952380952,-0.3638410736431854,False,0.16666951019842327
winter,VENICE,False,0.8880952380952382,1.0,0.9883630952380952,-0.3638410736431854,False,0.16666951019842327
summer,ELPIDA,False,0.9244444444444444,1.0,0.9870171957671956,-0.3989097342544834,False,0.18121673366760419
summer,ELOANE,False,0.6986904761904762,1.0,0.9876329365079364,-0.4293975981529637,False,0.19465139107799995
summer,ELOANE,True,0.6986904761904762,1.0,0.9876329365079364,-0.4293975981529637,False,0.19465139107799995
summer,ELOANE,False,0.6986904761904762,1.0,0.9876329365079364,-0.4293975981529637,False,0.19465139107799995
summer,ELPIDA,False,0.92,1.0,0.9854616402116402,-0.4472000233772634,False,0.2028388914844254
winter,ELOANE,False,0.8916666666666668,1.0,0.985,-0.4659861528909172,False,0.21175429736811904
winter,ELOANE,False,0.8916666666666668,1.0,0.985,-0.4659861528909172,False,0.21175429736811904
summer,ELPIDA,False,0.92,1.0,0.984350529100529,-0.4822913431848389,False,0.21972192949478533
winter,ELEONORA,False,0.7490476190476191,1.0,0.9848809523809524,-0.4956246322854625,False,0.22639574247220343
winter,ELEONORA,False,0.7490476190476191,1.0,0.9848809523809524,-0.4956246322854625,False,0.22639574247220343
summer,CHARLESTON,True,0.7093253968253969,1.0,0.9847910052910052,-0.512927244421494,False,0.23526815082561223
summer,CHARLESTON,False,0.7093253968253969,1.0,0.9847910052910052,-0.512927244421494,False,0.23526815082561223
winter,ELEONORA,True,0.7490476190476191,1.0,0.9821013227513228,-0.5814592616894214,False,0.2727226558166445
winter,GLORY,False,0.7816666666666665,1.0,0.9808293650793652,-0.611257568309668,False,0.2901236526378484
winter,MOSCOW,False,0.7548412698412698,1.0,0.9809748677248676,-0.6321012109642138,False,0.30267770865826127
winter,MOSCOW,False,0.7548412698412698,1.0,0.9809748677248676,-0.6321012109642138,False,0.30267770865826127
winter,CONTROL,False,0.9788878325137144,0.9788878325137144,0.978887832513714,-0.6401464933182867,False,0.30760475398327586
winter,CONTROL,True,0.9788878325137144,0.9788878325137144,0.978887832513714,-0.6401464933182867,False,0.30760475398327586
winter,GLORY,True,0.7816666666666665,1.0,0.9793333333333332,-0.6607429459688289,False,0.3204181548244525
summer,SINGAPURA,False,0.8875,1.0,0.9784907407407408,-0.6739004442200958,False,0.32874937591291536
summer,JADE,True,0.6897619047619048,1.0,0.9777976190476192,-0.750316772317029,False,0.3791571599344235
