Season,Name,Replicate,death,min,max,mean,log_multiply
summer,ORPHEUS,a,True,0.13634920634920636,0.9845689109218594,0.6961778292261552,-17.33917503673964
summer,ORPHEUS,b,True,0.13634920634920636,0.9845689109218594,0.6961778292261552,-17.33917503673964
summer,ORPHEUS,c,True,0.13634920634920636,0.9845689109218594,0.6961778292261552,-17.33917503673964
summer,INGY,a,True,0.04285714285714286,0.9958115075501335,0.8964272768652759,-7.850461020895992
summer,INGY,b,True,0.04285714285714286,0.9958115075501335,0.8964272768652759,-7.850461020895992
summer,INGY,c,True,0.04285714285714286,0.9958115075501335,0.8964272768652759,-7.850461020895992
summer,GLOBE,a,True,0.04285714285714286,0.9919902681265897,0.845919729677296,-10.240873135821861
summer,GLOBE,b,True,0.04285714285714286,0.9919902681265897,0.845919729677296,-10.240873135821861
summer,GLOBE,c,True,0.04285714285714286,0.9919902681265897,0.845919729677296,-10.240873135821861
summer,ELEONORA,a,True,0.9383785109878484,0.9899885274825515,0.9775634419272833,-0.6838229329827613
summer,ELEONORA,b,True,0.8936416688825854,0.988589128083152,0.9719813359632592,-0.8602807979552312
summer,ELEONORA,c,True,0.8936416688825854,0.9899885274825515,0.9730367335731845,-0.8278908372788739
summer,NEVADA,a,True,0.8936416688825854,0.9899885274825515,0.9730548762349422,-0.8258442072587151
summer,NEVADA,b,True,0.8936416688825854,0.9887641688729392,0.9724154550711966,-0.8454959382125642
summer,NEVADA,c,True,0.8825117061213051,0.9899885274825515,0.9674397479575908,-1.008053893830529
summer,CONTROL,a,False,0.9784654897626812,0.9931893183245906,0.987445610813267,-0.37933391295402014
summer,CONTROL,b,False,0.9784654897626812,0.9931893183245906,0.987445610813267,-0.37933391295402014
summer,CONTROL,c,False,0.9784654897626812,0.9931893183245906,0.987445610813267,-0.37933391295402014
summer,TINA,a,True,0.8149379276121025,0.9958115075501335,0.9759379830997587,-0.7496440571823234
summer,TINA,b,False,0.8149379276121025,0.9958115075501335,0.9759986330590755,-0.7478115471043763
summer,TINA,c,False,0.8149379276121025,0.9958115075501335,0.9759986330590755,-0.7478115471043763
summer,ANNA,a,True,0.19083196496989602,0.9929447186517338,0.8689221929767947,-7.34109380601777
summer,ANNA,b,True,0.19083196496989602,0.9929447186517338,0.8689221929767947,-7.34109380601777
summer,ANNA,c,True,0.19083196496989602,0.9929447186517338,0.8689221929767947,-7.34109380601777
summer,FORSTER,a,True,0.09634920634920635,0.9958115075501335,0.8480102243562077,-9.778573236945439
summer,FORSTER,b,True,0.09634920634920635,0.9958115075501335,0.8480102243562077,-9.778573236945439
summer,FORSTER,c,True,0.09634920634920635,0.9958115075501335,0.8480102243562077,-9.778573236945439
summer,ELOANE,a,False,0.9580031604390242,0.9938097669060951,0.9849591898184477,-0.45632779168354476
summer,ELOANE,b,True,0.9580031604390242,0.9938097669060951,0.9849591898184477,-0.45632779168354476
