Season,Name,Replicate,death,min,max,mean,log_multiply,death_prediction,death_prediction_probability
summer,CONTROL,b,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
summer,INGY,c,True,0.0,0.9997167138810198,0.8667223162130429,-70.88628407908766,False,0.4695463630694032
summer,INGY,b,True,0.0,0.9997167138810198,0.8667223162130429,-70.88628407908766,False,0.4695463630694032
winter,INGY,c,True,0.0,0.9997167138810198,0.8597254181022275,-92.31263076862298,False,0.4695463630694032
winter,INGY,a,True,0.0,0.9997167138810198,0.8597254181022275,-92.31263076862298,False,0.4695463630694032
summer,CONTROL,e,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
summer,CONTROL,c,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
summer,CONTROL,b,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
summer,CONTROL,a,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
summer,CONTROL,d,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
summer,CONTROL,a,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
summer,CONTROL,e,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
winter,FORSTER,b,True,0.0,0.9985163204747776,0.7934713169556351,-138.3521953754295,False,0.4695485676462216
winter,VENICE,b,False,0.9836734693877552,0.9985163204747776,0.9904159015269544,-0.2891461522149445,False,0.4695485676462216
winter,VENICE,a,False,0.9836734693877552,0.9985163204747776,0.9904159015269544,-0.2891461522149445,False,0.4695485676462216
winter,FORSTER,a,True,0.0,0.9985163204747776,0.7934713169556351,-138.3521953754295,False,0.4695485676462216
winter,FORSTER,c,True,0.0,0.9985163204747776,0.7934713169556351,-138.3521953754295,False,0.4695485676462216
summer,FORSTER,b,True,0.0,0.9985163204747776,0.7923645391048321,-138.38589518248918,False,0.4695485676462216
summer,FORSTER,c,True,0.0,0.9985163204747776,0.7923645391048321,-138.38589518248918,False,0.4695485676462216
summer,FORSTER,a,True,0.0,0.9985163204747776,0.7923645391048321,-138.38589518248918,False,0.4695485676462216
winter,TOKYO,c,False,0.96844229518422,0.9981542138810198,0.9865355399956564,-0.4079728022687903,False,0.4695492326716027
summer,VENUS,a,True,0.5851851851851853,0.9981542138810198,0.9442261243995784,-1.993394848388987,False,0.4695492326716027
summer,TOKYO,b,False,0.9901911345254452,0.9981542138810198,0.9923002155327912,-0.232004191834334,False,0.4695492326716027
summer,VENUS,c,True,0.5851851851851853,0.9981542138810198,0.9442261243995784,-1.993394848388987,False,0.4695492326716027
summer,VENUS,b,True,0.5851851851851853,0.9981542138810198,0.9442261243995784,-1.993394848388987,False,0.4695492326716027
winter,TOKYO,b,False,0.96844229518422,0.9981542138810198,0.9864460545370436,-0.4106802908452058,False,0.4695492326716027
winter,TOKYO,a,False,0.96844229518422,0.9981542138810198,0.9864460545370436,-0.4106802908452058,False,0.4695492326716027
summer,JADE,c,True,0.9165418212192656,0.9962632369716202,0.984424861000862,-0.4770659074349486,False,0.4695527055392543
