,param_bootstrap,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc,split0_train_auprc,split1_train_auprc,split2_train_auprc,split3_train_auprc,split4_train_auprc,mean_train_auprc,std_train_auprc
106,False,balanced,5,5,10,10,0,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 10, 'random_state': 0}",0.3596767091120557,0.40981478421294953,0.22687931481436194,0.19053184101765291,0.27123615608630763,0.29162776104866556,0.08176477929595753,110,0.5025574357789133,0.4803429665351928,0.5204699394712937,0.4462837629360443,0.4908028143401078,0.4880913838123104,0.024790742284987524,0.34146341463414637,0.38095238095238093,0.2127659574468085,0.19047619047619047,0.2631578947368421,0.27776316764927367,0.0731610592091344,113,0.43820224719101125,0.43478260869565216,0.4720496894409938,0.38190954773869346,0.41836734693877553,0.4290622880010252,0.02933237216447697,0.5986420207303143,0.6350311038506256,0.4192329289402435,0.2788704036399506,0.4592294021272605,0.4782011718576788,0.12858581766572602,78,0.7301062070360479,0.7056135840145821,0.7192325298400268,0.756552613270914,0.7226426563278756,0.7268295180978893,0.016849682359977462
107,False,balanced,5,5,10,20,0,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 20, 'random_state': 0}",0.30178022769908935,0.4533377908712506,0.26538981381903,0.20378408972475098,0.3055664517464865,0.30597167477212145,0.08224803290612873,99,0.5129112859844904,0.5689740583262758,0.5747634105920032,0.4610321205040103,0.5255180494814983,0.5286397849776556,0.04142986761996875,0.2926829268292683,0.45161290322580644,0.2564102564102564,0.20512820512820512,0.30303030303030304,0.3017729189247678,0.08238228173781735,102,0.4508670520231214,0.5373134328358209,0.5441176470588235,0.3939393939393939,0.4606741573033708,0.47738233663210605,0.056551368170054274,0.5863340448077516,0.637756398480242,0.44303345713394593,0.28947263944380053,0.41879239619448533,0.4750777872120452,0.12448810435425307,82,0.7368787568635721,0.7491407588968739,0.7668794456956268,0.757070058952093,0.7546059687698038,0.752914997835594,0.00986443737571551
108,False,,3,1,2,5,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 0}",0.7340646971002934,0.7340646971002934,0.6278669185981051,0.4429030024106458,0.5430947643615459,0.6163988159141767,0.11251339284464097,8,0.6392462923973489,0.6392462923973489,0.6679084334186761,0.7026062831514298,0.6498982542088506,0.6597811111147308,0.0238372697595117,0.7058823529411765,0.7058823529411765,0.5714285714285714,0.3333333333333333,0.46153846153846156,0.5556130144365439,0.14399316523121983,57,0.5862068965517241,0.5862068965517241,0.6229508196721312,0.6666666666666666,0.6,0.6124062558884492,0.030272456285172507,0.5648103743023529,0.5657797487065779,0.4888826038448996,0.2504057480980558,0.5552549648568328,0.4850266879617438,0.12073140255229964,62,0.546814940698831,0.5326925313690157,0.5730801624227919,0.6168368722805344,0.5578547840139776,0.5654558581570301,0.02890271385848207
109,False,,3,1,2,10,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0}",0.7340646971002934,0.7340646971002934,0.6278669185981051,0.4429030024106458,0.5430947643615459,0.6163988159141767,0.11251339284464097,8,0.6392462923973489,0.6392462923973489,0.6679084334186761,0.7026062831514298,0.6498982542088506,0.6597811111147308,0.0238372697595117,0.7058823529411765,0.7058823529411765,0.5714285714285714,0.3333333333333333,0.46153846153846156,0.5556130144365439,0.14399316523121983,57,0.5862068965517241,0.5862068965517241,0.6229508196721312,0.6666666666666666,0.6,0.6124062558884492,0.030272456285172507,0.5640765566070172,0.5962608376401479,0.5004954125476513,0.24389714529800738,0.5490502162268771,0.49075603366394016,0.12723171046063153,50,0.5570598905936738,0.5471354143470404,0.5964499957947209,0.6445699381929177,0.5726941019484082,0.5835818681753523,0.03474316087465485
110,False,,3,1,2,20,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 0}",0.7340646971002934,0.7340646971002934,0.6278669185981051,0.4429030024106458,0.5430947643615459,0.6163988159141767,0.11251339284464097,8,0.6392462923973489,0.6392462923973489,0.6679084334186761,0.7026062831514298,0.6498982542088506,0.6597811111147308,0.0238372697595117,0.7058823529411765,0.7058823529411765,0.5714285714285714,0.3333333333333333,0.46153846153846156,0.5556130144365439,0.14399316523121983,57,0.5862068965517241,0.5862068965517241,0.6229508196721312,0.6666666666666666,0.6,0.6124062558884492,0.030272456285172507,0.5764108681158873,0.6139427643472133,0.4955062292862048,0.2438878976014994,0.5601854802392596,0.4979866479180129,0.1326930302481004,34,0.5781952797261706,0.5615929918782105,0.6158060896981004,0.6589823104119943,0.5980498045605446,0.602525295255004,0.033619063621093716
111,False,,3,1,10,5,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 5, 'random_state': 0}",0.7340646971002934,0.6773786076528916,0.6278669185981051,0.4429030024106458,0.589611228406161,0.6143648908336194,0.09848147020283204,11,0.5872791440571647,0.6032463185720012,0.6187421768701943,0.6554089711354643,0.6318517905529382,0.6193056802375525,0.023429776569864058,0.7058823529411765,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.5882352941176471,0.573109243697479,0.1296964141234584,8,0.5573770491803278,0.5666666666666667,0.59375,0.6363636363636364,0.5901639344262295,0.5888642573273721,0.027444226929868733,0.5640724758371817,0.5654545454545454,0.5114064827873601,0.24970597903502686,0.5389109378691236,0.4859100841966475,0.11973989887258726,56,0.5321831426193671,0.5301696175621797,0.5522807015930171,0.6047269993498802,0.5522600631667007,0.5543241048582289,0.026916719724152428
112,False,,3,1,10,10,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10, 'random_state': 0}",0.7340646971002934,0.6773786076528916,0.6278669185981051,0.4429030024106458,0.589611228406161,0.6143648908336194,0.09848147020283204,11,0.6392462923973489,0.6032463185720012,0.6187421768701943,0.6554089711354643,0.6318517905529382,0.6296991099055893,0.017757163302962238,0.7058823529411765,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.5882352941176471,0.573109243697479,0.1296964141234584,8,0.5862068965517241,0.5666666666666667,0.59375,0.6363636363636364,0.5901639344262295,0.5946302268016513,0.022870562863190416,0.5634256118071361,0.5961804000597104,0.512598364190045,0.2372751856863984,0.5380720522340072,0.4895103227954595,0.12911687647024972,53,0.5526521834352732,0.5422712657544377,0.5788142669356566,0.6310545134946862,0.571546407031434,0.5752677273302975,0.03078577912181307
113,False,,3,1,10,20,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 20, 'random_state': 0}",0.7340646971002934,0.6773786076528916,0.6278669185981051,0.4429030024106458,0.589611228406161,0.6143648908336194,0.09848147020283204,11,0.6392462923973489,0.6032463185720012,0.6187421768701943,0.7026062831514298,0.6318517905529382,0.6391385723087823,0.03401624887248279,0.7058823529411765,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.5882352941176471,0.573109243697479,0.1296964141234584,8,0.5862068965517241,0.5666666666666667,0.59375,0.6666666666666666,0.5901639344262295,0.6006908328622573,0.03429061006760898,0.5707196172081255,0.6117769760220686,0.48037662510687373,0.23513277360382573,0.5603188331557776,0.4916649650193342,0.13514886509351845,47,0.5757367086881466,0.5608488323618664,0.6125728178784283,0.6554510960636788,0.5869770823031422,0.5983173074590524,0.03319596406547906
114,False,,3,2,2,5,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 0}",0.7340646971002934,0.7340646971002934,0.6278669185981051,0.4429030024106458,0.589611228406161,0.6257021087230997,0.10789592432718541,1,0.6392462923973489,0.6392462923973489,0.6679084334186761,0.7026062831514298,0.6318517905529382,0.6561718183835483,0.026299499098891954,0.7058823529411765,0.7058823529411765,0.5714285714285714,0.3333333333333333,0.5882352941176471,0.580952380952381,0.13614252261363843,1,0.5862068965517241,0.5862068965517241,0.6229508196721312,0.6666666666666666,0.5901639344262295,0.610439042773695,0.03131633468129097,0.5648103743023529,0.5657797487065779,0.4888826038448996,0.2504057480980558,0.5552549648568328,0.4850266879617438,0.12073140255229964,62,0.546814940698831,0.5326925313690157,0.5730801624227919,0.6168368722805344,0.5485540022977824,0.563595701813791,0.029622389630745864
115,False,,3,2,2,10,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0}",0.7340646971002934,0.7340646971002934,0.6278669185981051,0.4429030024106458,0.589611228406161,0.6257021087230997,0.10789592432718541,1,0.6392462923973489,0.6392462923973489,0.6679084334186761,0.7026062831514298,0.6318517905529382,0.6561718183835483,0.026299499098891954,0.7058823529411765,0.7058823529411765,0.5714285714285714,0.3333333333333333,0.5882352941176471,0.580952380952381,0.13614252261363843,1,0.5862068965517241,0.5862068965517241,0.6229508196721312,0.6666666666666666,0.5901639344262295,0.610439042773695,0.03131633468129097,0.5640765566070172,0.5962608376401479,0.5004954125476513,0.24389714529800738,0.549050216226877,0.49075603366394016,0.12723171046063153,50,0.5528422204336901,0.5471354143470404,0.5964499957947209,0.6445699381929177,0.5689347034521677,0.5819864544441073,0.035665714747907265
116,False,,3,2,2,20,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 0}",0.7340646971002934,0.7340646971002934,0.6278669185981051,0.4429030024106458,0.589611228406161,0.6257021087230997,0.10789592432718541,1,0.6392462923973489,0.6392462923973489,0.6679084334186761,0.7026062831514298,0.6318517905529382,0.6561718183835483,0.026299499098891954,0.7058823529411765,0.7058823529411765,0.5714285714285714,0.3333333333333333,0.5882352941176471,0.580952380952381,0.13614252261363843,1,0.5862068965517241,0.5862068965517241,0.6229508196721312,0.6666666666666666,0.5901639344262295,0.610439042773695,0.03131633468129097,0.5764108681158873,0.6139427643472133,0.4955062292862048,0.2438878976014994,0.5712446921098872,0.5001984902921384,0.1337989435274947,29,0.5752703148392331,0.5615929918782105,0.6158060896981004,0.6589823104119943,0.6004525219772043,0.6024208457609486,0.03401853412258512
117,False,,3,2,10,5,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 5, 'random_state': 0}",0.7340646971002934,0.6773786076528916,0.6278669185981051,0.4429030024106458,0.589611228406161,0.6143648908336194,0.09848147020283204,11,0.5872791440571647,0.6032463185720012,0.6187421768701943,0.6554089711354643,0.6318517905529382,0.6193056802375525,0.023429776569864058,0.7058823529411765,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.5882352941176471,0.573109243697479,0.1296964141234584,8,0.5573770491803278,0.5666666666666667,0.59375,0.6363636363636364,0.5901639344262295,0.5888642573273721,0.027444226929868733,0.5640724758371817,0.5654545454545454,0.5114064827873601,0.24970597903502686,0.5389109378691236,0.4859100841966475,0.11973989887258726,56,0.5321831426193671,0.5301696175621797,0.5522807015930171,0.6047269993498802,0.5440363789561744,0.5526793680161237,0.02724188041701757
118,False,,3,2,10,10,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10, 'random_state': 0}",0.7340646971002934,0.6773786076528916,0.6278669185981051,0.4429030024106458,0.589611228406161,0.6143648908336194,0.09848147020283204,11,0.6392462923973489,0.6032463185720012,0.6187421768701943,0.6554089711354643,0.6318517905529382,0.6296991099055893,0.017757163302962238,0.7058823529411765,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.5882352941176471,0.573109243697479,0.1296964141234584,8,0.5862068965517241,0.5666666666666667,0.59375,0.6363636363636364,0.5901639344262295,0.5946302268016513,0.022870562863190416,0.5634256118071361,0.5961804000597104,0.512598364190045,0.2372751856863984,0.5380720522340072,0.4895103227954595,0.12911687647024972,53,0.5501480072013393,0.5422712657544377,0.5788142669356566,0.6310545134946862,0.5677870085351935,0.5740150123842627,0.03128138407941477
119,False,,3,2,10,20,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 20, 'random_state': 0}",0.7340646971002934,0.6773786076528916,0.6278669185981051,0.4429030024106458,0.589611228406161,0.6143648908336194,0.09848147020283204,11,0.6392462923973489,0.6032463185720012,0.6187421768701943,0.7026062831514298,0.6318517905529382,0.6391385723087823,0.03401624887248279,0.7058823529411765,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.5882352941176471,0.573109243697479,0.1296964141234584,8,0.5862068965517241,0.5666666666666667,0.59375,0.6666666666666666,0.5901639344262295,0.6006908328622573,0.03429061006760898,0.5707196172081255,0.6117769760220686,0.48037662510687373,0.23513277360382573,0.5603188331557776,0.4916649650193342,0.13514886509351845,47,0.5748655598353947,0.5608488323618664,0.6125728178784283,0.6554510960636788,0.5869770823031422,0.598143077688502,0.03331609039749191
120,False,,3,5,2,5,0,"{'bootstrap': False, 'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 0}",0.7340646971002934,0.6773786076528916,0.6278669185981051,0.4429030024106458,0.589611228406161,0.6143648908336194,0.09848147020283204,11,0.5872791440571647,0.6032463185720012,0.6187421768701943,0.6554089711354643,0.6318517905529382,0.6193056802375525,0.023429776569864058,0.7058823529411765,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.5882352941176471,0.573109243697479,0.1296964141234584,8,0.5573770491803278,0.5666666666666667,0.59375,0.6363636363636364,0.5901639344262295,0.5888642573273721,0.027444226929868733,0.5642707163816435,0.6009606831524639,0.49553346691434424,0.2494142997959792,0.42227999351871526,0.4664918319526293,0.12454986179788659,98,0.5220124200828555,0.5270272319236171,0.5526049621260158,0.5999712101699066,0.5138248642148932,0.5430881377034577,0.03125614059116026
