Season,Name,death,min,max,mean,multiply,multiply_death,death_prediction,death_prediction_probability
winter,GLORY,False,0.9724636,0.99255735,0.9886998,-0.3415561157270567,1.3415561157270566,False,0.31550407083301335
winter,PISCES,True,0.9695483,0.9925325,0.98826534,-0.3548105128128827,1.3548105128128827,False,0.3194514487057091
winter,ELPIDA,True,0.97126323,0.9925486,0.98795396,-0.3642172917907988,1.3642172917907989,False,0.3222687716133198
winter,ELPIDA,True,0.9695093,0.9925486,0.98778355,-0.3694720657839656,1.3694720657839656,False,0.32384823120122175
winter,ELPIDA,True,0.9695093,0.9925486,0.98767245,-0.3728550593996045,1.3728550593996045,False,0.3248672091397037
winter,MAYA,True,0.96778643,0.992592,0.98764265,-0.3738577945218352,1.373857794521835,False,0.3251695583841607
winter,MAYA,True,0.96778643,0.99257714,0.98754245,-0.3769001953575703,1.3769001953575704,False,0.3260878080354968
winter,MOSCOW,True,0.96811104,0.9925548,0.98740804,-0.3811303179143807,1.3811303179143808,False,0.32736675272444477
winter,MOSCOW,False,0.96811104,0.9925747,0.9872162,-0.3869688313997907,1.3869688313997908,False,0.3291362003848207
winter,MOSCOW,False,0.96811104,0.9925747,0.9872162,-0.3869688313997907,1.3869688313997908,False,0.3291362003848207
winter,NEVADA,False,0.97224,0.9925237,0.98684037,-0.3980592991479117,1.3980592991479117,False,0.3325106802855529
winter,NEVADA,True,0.97210443,0.9925237,0.9866658,-0.4033843657875138,1.4033843657875138,False,0.3341370846963234
winter,NEVADA,True,0.97210443,0.99253,0.98662204,-0.4047163531401548,1.4047163531401547,False,0.33454452519373257
summer,CONTROL,False,0.9859502,0.9859502,0.98595023,-0.4244838362006841,1.4244838362006842,False,0.3406199542504216
summer,CONTROL,False,0.9859502,0.9859502,0.98595023,-0.4244838362006841,1.4244838362006842,False,0.3406199542504216
summer,CONTROL,False,0.9859502,0.9859502,0.98595023,-0.4244838362006841,1.4244838362006842,False,0.3406199542504216
winter,SINGAPURA,False,0.9597343,0.99256,0.9852291,-0.4480465623876196,1.4480465623876195,False,0.3479307311876869
