,hidden_size,num_layers,lr,batch_size,split0_train_mcc,split0_train_f1,split0_train_auprc,split0_test_mcc,split0_test_f1,split0_test_auprc,split1_train_mcc,split1_train_f1,split1_train_auprc,split1_test_mcc,split1_test_f1,split1_test_auprc,split2_train_mcc,split2_train_f1,split2_train_auprc,split2_test_mcc,split2_test_f1,split2_test_auprc,split3_train_mcc,split3_train_f1,split3_train_auprc,split3_test_mcc,split3_test_f1,split3_test_auprc,split4_train_mcc,split4_train_f1,split4_train_auprc,split4_test_mcc,split4_test_f1,split4_test_auprc,mean_train_mcc,mean_train_f1,mean_train_auprc,mean_test_mcc,mean_test_f1,mean_test_auprc
6,8,1,0.01,16,0.5872791440571647,0.5573770491803278,0.4574981752451531,0.7340646971002934,0.7058823529411765,0.5789204845920869,0.6032463185720012,0.5666666666666667,0.45376965438803946,0.6773786076528916,0.6666666666666666,0.5492708548470102,0.6187421768701943,0.59375,0.46629474600031806,0.6278669185981051,0.5714285714285714,0.4377943235655428,0.6554089711354643,0.6363636363636364,0.46774225429669275,0.4429030024106458,0.3333333333333333,0.2507821615257128,0.6318517905529382,0.5901639344262295,0.4920545833484169,0.589611228406161,0.5882352941176471,0.5305121911307478,0.6193056802375525,0.5888642573273721,0.4674718826557241,0.6143648908336194,0.573109243697479,0.4694560031322201
7,8,1,0.01,32,0.5872791440571647,0.5573770491803278,0.44246815716615295,0.7340646971002934,0.7058823529411765,0.5798953144441441,0.6032463185720012,0.5666666666666667,0.43327170218714034,0.6773786076528916,0.6666666666666666,0.4829683121959998,0.6187421768701943,0.59375,0.4154204021040853,0.6278669185981051,0.5714285714285714,0.4595274493363936,0.6554089711354643,0.6363636363636364,0.5086524228161943,0.4429030024106458,0.3333333333333333,0.2617838557259289,0.6318517905529382,0.5901639344262295,0.45307691104703934,0.589611228406161,0.5882352941176471,0.4276036892275679,0.6193056802375525,0.5888642573273721,0.4505779190641224,0.6143648908336194,0.573109243697479,0.4423557241860069
8,8,1,0.01,64,0.5872791440571647,0.5573770491803278,0.41491903277205205,0.7340646971002934,0.7058823529411765,0.5817659123303666,0.0,0.0,0.3003259079395117,0.0,0.0,0.49824756397723763,0.0,0.0,0.4000211694223598,0.0,0.0,0.4144817446640929,0.6554089711354643,0.6363636363636364,0.5371163133339334,0.4429030024106458,0.3333333333333333,0.25407001289107517,0.6318517905529382,0.5901639344262295,0.4527668456375901,0.589611228406161,0.5882352941176471,0.5102462220197187,0.37490798114911345,0.35678092399403877,0.42102985382108943,0.35331578558342003,0.3254901960784314,0.4517622911764982
9,8,2,0.0001,16,0.0,0.047757716948165406,0.06736924158837396,0.0,0.05116279069767442,0.06080657212069965,0.0,0.0,0.25290200217141956,0.0,0.0,0.31058456697658043,0.0,0.048894062863795114,0.01971129739843934,0.0,0.046620046620046623,0.022400250262787226,0.0,0.0,0.017977706281813638,0.0,0.0,0.02719198101507921,0.1325824588319867,0.12666666666666668,0.2778825549288019,0.10921310556779991,0.1095890410958904,0.09440115585792704,0.026516491766397338,0.04466368929572544,0.12716856047376968,0.02184262111355998,0.04147437568272229,0.1030769052466147
10,8,2,0.0001,32,0.0,0.0,0.05999800747215611,0.0,0.0,0.06986553474090987,0.40896656314223667,0.2916666666666667,0.2835669168537107,0.29788291705786374,0.16666666666666666,0.2528623081568159,0.0,0.0,0.030459872344725636,0.0,0.0,0.0401108576353529,0.0,0.048894062863795114,0.19279332664782278,0.0,0.046620046620046623,0.2624373558399501,0.0,0.0,0.03772118094747815,0.0,0.0,0.05562570481878382,0.08179331262844733,0.06811214590609235,0.12090786085317869,0.05957658341157275,0.04265734265734265,0.1361803522383625
11,8,2,0.0001,64,0.2182751127072096,0.09302325581395349,0.2405093133813803,0.29788291705786374,0.16666666666666666,0.23129833240118844,0.0,0.0,0.13469715374134214,0.0,0.0,0.24539455274895478,0.0,0.0,0.028099605509346003,0.0,0.0,0.039060663082983844,0.0,0.048894062863795114,0.05527561524707728,0.0,0.046620046620046623,0.08038017930220631,0.0,0.048894062863795114,0.033978404172684454,0.0,0.046620046620046623,0.02819771532528445,0.04365502254144192,0.03816227630830874,0.09851201841036603,0.05957658341157275,0.05198135198135199,0.12486628857212356
12,8,2,0.001,16,0.5872791440571647,0.5573770491803278,0.4069404542661727,0.7340646971002934,0.7058823529411765,0.5805113178107422,0.0,0.0,0.18460608005588722,0.0,0.0,0.3693684202305362,0.6187421768701943,0.59375,0.5064608376028747,0.6278669185981051,0.5714285714285714,0.454825401735461,0.6554089711354643,0.6363636363636364,0.45597641358315716,0.4429030024106458,0.3333333333333333,0.24602780581222933,0.5731044295872854,0.5172413793103449,0.4898795318682667,0.589611228406161,0.5882352941176471,0.5110971023955179,0.48690694433002174,0.4609464129708618,0.4087726634752718,0.47888916930304104,0.4397759103641456,0.43236600959689736
13,8,2,0.001,32,0.0,0.0,0.027472524726045784,0.0,0.0,0.028141786817461576,0.0,0.0,0.0269815682389616,0.0,0.0,0.024457819322997856,0.0,0.0,0.10594966572882544,0.0,0.0,0.07995026870318772,0.0,0.0,0.06927097723230481,0.0,0.0,0.10510212633493463,0.0,0.0,0.02460994376698766,0.0,0.0,0.02935779094971938,0.0,0.0,0.05085693593862506,0.0,0.0,0.053401958425660236
14,8,2,0.001,64,0.0,0.047757716948165406,0.01639718004514138,0.0,0.05116279069767442,0.029769808348762077,0.0,0.0,0.27000152656798093,0.0,0.0,0.46535494544594774,0.0,0.0,0.01561773308523549,0.0,0.0,0.02335210439801471,0.0,0.048894062863795114,0.02379818150623155,0.0,0.046620046620046623,0.01933131438198366,0.0,0.0,0.04298550236863091,0.0,0.0,0.0342473893500317,0.0,0.019330355962392104,0.07376002471464406,0.0,0.019556567463544207,0.11441111238494797
15,8,2,0.01,16,0.5872791440571647,0.5573770491803278,0.4823430695277451,0.7340646971002934,0.7058823529411765,0.5764755552288476,0.6032463185720012,0.5666666666666667,0.4629581037343293,0.6773786076528916,0.6666666666666666,0.4754401764549756,0.6187421768701943,0.59375,0.4773210395033266,0.6278669185981051,0.5714285714285714,0.4410771442740432,0.6554089711354643,0.6363636363636364,0.5525461347317036,0.4429030024106458,0.3333333333333333,0.2537353260246276,0.6318517905529382,0.5901639344262295,0.48861777332803635,0.589611228406161,0.5882352941176471,0.4650947667119381,0.6193056802375525,0.5888642573273721,0.49275722416502815,0.6143648908336194,0.573109243697479,0.44236459373888637
16,8,2,0.01,32,0.5872791440571647,0.5573770491803278,0.44129030230933985,0.7340646971002934,0.7058823529411765,0.5790402579876264,0.0,0.0,0.24053182689835115,0.0,0.0,0.39553605188631924,0.6187421768701943,0.59375,0.4847694286928057,0.6278669185981051,0.5714285714285714,0.4431359563134895,0.6554089711354643,0.6363636363636364,0.52886327334091,0.4429030024106458,0.3333333333333333,0.2711696049614177,0.6318517905529382,0.5901639344262295,0.4995140430818663,0.589611228406161,0.5882352941176471,0.4238847541076206,0.4986564165231523,0.4755309239940388,0.43899377486465463,0.47888916930304104,0.4397759103641456,0.42255332505129467
17,8,2,0.01,64,0.5872791440571647,0.5573770491803278,0.4919640893582826,0.7340646971002934,0.7058823529411765,0.5781434514706784,0.0,0.0,0.1635247867722135,0.0,0.0,0.26806966089779666,0.6187421768701943,0.59375,0.4795470830835131,0.6278669185981051,0.5714285714285714,0.43937911420360043,0.0,0.0,0.17237425693971892,0.0,0.0,0.19007254526184206,0.6318517905529382,0.5901639344262295,0.5023365396357615,0.589611228406161,0.5882352941176471,0.532395629509967,0.36757462229605947,0.3482581967213115,0.36194935115789795,0.3903085688209119,0.373109243697479,0.4016120802687769
18,16,1,0.0001,16,0.0,0.0,0.018579419913017862,0.0,0.0,0.016317106532310836,0.0,0.0,0.46054471890326726,0.0,0.0,0.6011063954587108,0.0,0.0,0.016438465944727452,0.0,0.0,0.017115346010893755,0.0,0.0,0.019090840983779427,0.0,0.0,0.018560036168085967,0.058347036840994855,0.08633093525179857,0.04489082894506183,0.02874664781424541,0.058823529411764705,0.10026422701006366,0.011669407368198971,0.017266187050359712,0.11190885493797076,0.0057493295628490825,0.011764705882352941,0.15067262223601302
19,16,1,0.0001,32,0.0,0.0,0.015064362510888671,0.0,0.0,0.01546898339636177,0.0,0.0,0.0265251111619049,0.0,0.0,0.026818924972615024,0.21559498375155073,0.09090909090909091,0.16688882654928525,0.31280487520521977,0.18181818181818182,0.17526740910028202,-0.020809745679073424,0.02197802197802198,0.0198107479939855,0.005068140743902028,0.041666666666666664,0.029690080499020777,0.0,0.0,0.027388718287071706,0.0,0.0,0.020425382061215754,0.03895704761449546,0.02257742257742258,0.051135553300627204,0.06357460318982436,0.04469696969696969,0.05353415600589907
20,16,1,0.0001,64,0.1845121222664028,0.1276595744680851,0.3179569806874077,0.42177487881291076,0.3076923076923077,0.45792319365888956,0.0,0.0,0.10605971971493985,0.0,0.0,0.03874879993874288,0.23015437691822374,0.25,0.10179318529276964,0.38533007334963326,0.4,0.24703052146256974,0.0,0.0,0.017434120259403746,0.0,0.0,0.038162382389134386,0.5116741723427857,0.45614035087719296,0.3882992658685642,0.5076086935416698,0.5,0.27099945854078444,0.18526813430548245,0.1667599850690556,0.18630865436461702,0.26294272914084277,0.24153846153846156,0.2105728711980242
21,16,1,0.001,16,0.5872791440571647,0.5573770491803278,0.42922021681883765,0.7340646971002934,0.7058823529411765,0.580073739922721,0.6032463185720012,0.5666666666666667,0.45589199685608645,0.6773786076528916,0.6666666666666666,0.5461853796572712,0.6187421768701943,0.59375,0.5081390782810019,0.6278669185981051,0.5714285714285714,0.45377958790537853,0.5996540073548048,0.5714285714285714,0.5352636665167233,0.4429030024106458,0.3333333333333333,0.2517466310382936,0.5731044295872854,0.5172413793103449,0.4351537134441042,0.589611228406161,0.5882352941176471,0.4103407925364976,0.5964052152882902,0.5612927333171821,0.4727337343833507,0.6143648908336194,0.573109243697479,0.4484252262120324
22,16,1,0.001,32,0.5872791440571647,0.5573770491803278,0.4314705824388277,0.7340646971002934,0.7058823529411765,0.5778536413498212,0.5405331853850281,0.49122807017543857,0.4287020301040367,0.6773786076528916,0.6666666666666666,0.4864546273774094,0.6187421768701943,0.59375,0.441377030152211,0.6278669185981051,0.5714285714285714,0.4143198090692124,0.6554089711354643,0.6363636363636364,0.5269140524918929,0.4429030024106458,0.3333333333333333,0.2506051196206468,0.6318517905529382,0.5901639344262295,0.46696309578569495,0.589611228406161,0.5882352941176471,0.40603144764288907,0.6067630536001578,0.5737765380291264,0.45908535819453267,0.6143648908336194,0.573109243697479,0.4270529290119958
23,16,1,0.001,64,0.2182751127072096,0.09302325581395349,0.428027151447783,0.29788291705786374,0.16666666666666666,0.5478083333653749,0.0,0.0,0.026696675906349356,0.0,0.0,0.020905982218747662,0.37386840957986717,0.25,0.4540683138739458,0.5430947643615459,0.46153846153846156,0.4654310528659943,0.2658143202131213,0.2,0.5049519561416079,0.31280487520521977,0.18181818181818182,0.25045353241727913,0.0,0.0,0.017334508829060638,0.0,0.0,0.015446480279815667,0.17159156850003962,0.1086046511627907,0.2862157212397493,0.23075651132492586,0.16200466200466201,0.26000907622944236
24,16,1,0.01,16,0.5872791440571647,0.5573770491803278,0.4624417139647266,0.7340646971002934,0.7058823529411765,0.5703537898692852,0.6032463185720012,0.5666666666666667,0.4628889108374762,0.6773786076528916,0.6666666666666666,0.5295331514168823,0.6187421768701943,0.59375,0.4293562864860734,0.6278669185981051,0.5714285714285714,0.44034519763445273,0.6554089711354643,0.6363636363636364,0.5448650832283595,0.4429030024106458,0.3333333333333333,0.26901031002659487,0.6318517905529382,0.5901639344262295,0.4683641862379732,0.589611228406161,0.5882352941176471,0.4206716995741385,0.6193056802375525,0.5888642573273721,0.47358323615092174,0.6143648908336194,0.573109243697479,0.44598282970427067
25,16,1,0.01,32,0.5872791440571647,0.5573770491803278,0.4128029655996006,0.7340646971002934,0.7058823529411765,0.5720999822748047,0.6032463185720012,0.5666666666666667,0.4590392400212797,0.6773786076528916,0.6666666666666666,0.48791471542969067,0.6187421768701943,0.59375,0.5053552968817084,0.6278669185981051,0.5714285714285714,0.431582605612081,0.6554089711354643,0.6363636363636364,0.45612671095898544,0.4429030024106458,0.3333333333333333,0.25388293395703126,0.59330151912881,0.5423728813559322,0.4731841512370464,0.5076086935416698,0.5,0.4670200443785255,0.6115956259527269,0.5793060467133125,0.46130167293972413,0.5979643838607211,0.5554621848739496,0.4425000563304266
